category,type,difficulty,question,correct_answer,incorrect_answers
Entertainment: Cartoon &amp; Animations,multiple,easy,Who voiced the Genie in Disney&#039;s &quot;Aladdin&quot;?,Robin Williams,"[""Billy Crystal"", ""Adam Sandler"", ""Jim Carrey""]"
General Knowledge,multiple,medium,Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,"[""Taipei 101"", ""One Detroit Center"", ""Westendstrasse 1""]"
General Knowledge,multiple,easy,Which company did Valve cooperate with in the creation of the Vive?,HTC,"[""Oculus"", ""Google"", ""Razer""]"
Geography,multiple,medium,How many countries share a land border with Luxembourg?,3,"[""4"", ""2"", ""5""]"
Science: Gadgets,multiple,hard,Which of the following cellular device companies is NOT headquartered in Asia?,Nokia,"[""LG Electronics"", ""Samsung"", ""HTC""]"
Geography,multiple,medium,What is the fifth largest country by area?,Brazil,"[""United States"", ""Australia"", ""India""]"
Entertainment: Television,multiple,medium,&quot;The A Team&quot; first aired in the USA and in the UK in what year?,1983,"[""1981"", ""1985"", ""1987""]"
Entertainment: Video Games,multiple,hard,What animal is on Link&#039;s pajamas in The Legend of Zelda: The Wind Waker?,Crawfish,"[""Lobster"", ""Salmon"", ""Swordfish""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,What&#039;s the English Dub Name of &quot;Smile Precure&quot;?,Glitter Force,"[""Sparkle Girls"", ""Fairy Tale Patrol"", ""Power Princesses""]"
Entertainment: Film,multiple,easy,Who plays the character of Po in the Kung Fu Panda movies?,Jack Black,"[""Mirana Jonnes"", ""McConahey Ramses"", ""Jim Petersson""]"
Entertainment: Film,multiple,easy,&quot;The first rule is: you don&#039;t talk about it&quot; is a reference to which movie?,Fight Club,"[""The Island"", ""Unthinkable"", ""American Pie""]"
General Knowledge,multiple,easy,The Canadian $1 coin is colloquially known as a what?,Loonie,"[""Boolie"", ""Foolie"", ""Moodie""]"
General Knowledge,multiple,medium,Amsterdam Centraal station is twinned with what station?,London Liverpool Street,"[""Frankfurt (Main) Hauptbahnhof"", ""Paris Gare du Nord"", ""Brussels Midi""]"
Entertainment: Television,multiple,hard,What is the name of the pirate that sings the intro to &quot;Spongebob Squarepants&quot;?,Painty,"[""Patchy"", ""Lloyd"", ""Larry""]"
Entertainment: Music,multiple,medium,Who had a 1973 hit with the song &#039;Hocus Pocus&#039;?,Focus,"[""Pilot"", ""Rush"", ""AC/DC""]"
General Knowledge,multiple,medium,"Which of these is the name of a Japanese system of alternative medicine, literally meaning &quot;finger pressure&quot;?",Shiatsu,"[""Ukiyo"", ""Majime"", ""Ikigai""]"
Entertainment: Video Games,multiple,easy,"In Five Nights at Freddy&#039;s 1, how can you make Golden Freddy disappear?",Enable cameras,"[""Turn on the light"", ""Shut the door"", ""Do nothing""]"
Vehicles,multiple,easy,Which of the following car manufacturers had a war named after it?,Toyota,"[""Honda"", ""Ford"", ""Volkswagen""]"
Science &amp; Nature,boolean,medium,Enthalpy is a measure of the energy that is not available for work during a thermodynamic process.,False,"[""True""]"
Geography,multiple,medium,Montreal is in which Canadian province?,Quebec,"[""Ontario"", ""Nova Scotia"", ""Alberta""]"
Entertainment: Video Games,multiple,medium,"What is the name of the first boss the player encounters in the 2017 game, &quot;Little Nightmares&quot;?",The Janitor,"[""The Warden"", ""The Caretaker"", ""The Overseer""]"
Entertainment: Cartoon &amp; Animations,multiple,easy,Who voices for Ruby in the animated series RWBY?,Lindsay Jones,"[""Tara Strong"", ""Jessica Nigri"", ""Hayden Panettiere""]"
Geography,multiple,medium,"Which of these American cities has fewer than 1,000,000 people?","San Francisco, California","[""Phoenix, Arizona"", ""San Antonio, Texas"", ""Philadelphia, Pennsylvania""]"
Entertainment: Film,multiple,easy,Which year was the first official Youtube Rewind released?,2010,"[""2012"", ""2011"", ""2013""]"
Geography,multiple,medium,Which city is the capital of Switzerland?,Bern,"[""Z&uuml;rich"", ""Frankfurt"", ""Wien""]"
Mythology,multiple,medium,Hel was the daughter of which Norse Mythological figure?,Loki,"[""Thor"", ""Odin"", ""Balder""]"
Entertainment: Video Games,boolean,easy,There are 6 legendary cards in &quot;Clash Royale&quot;.,False,"[""True""]"
Entertainment: Video Games,multiple,easy,"In the game Battleblock Theater, what was the name of the voice actor who voiced the narrator?",Will Stamper,"[""Steve Blum"", ""Richard Epcar"", ""Yuri Lowenthal""]"
Entertainment: Film,multiple,medium,Which 1958 movie starred Kirk Douglas and Tony Curtis as half-brothers Einar and Eric?,The Vikings ,"[""The Long Ships"", ""Prince Valiant"", ""Spartacus""]"
Entertainment: Video Games,multiple,hard,"In the SHMUP series, &quot;Darius&quot;, what is the name of the antagonist faction you fight against?",Belsar,"[""Bacterion"", ""Bydo"", ""Orn Empire""]"
Entertainment: Comics,multiple,medium,Who is the second person to take up the mantle of Night Owl in the Watchmen graphic novel?,Daniel Dreiberg,"[""Nelson Gardner"", ""Hollis Mason"", ""Adrian Veidt""]"
Entertainment: Video Games,multiple,easy,What year did the game &quot;Overwatch&quot; enter closed beta?,2015,"[""2013"", ""2011"", ""2016""]"
General Knowledge,multiple,medium,Earl Grey tea is black tea flavoured with what?,Bergamot oil,"[""Lavender"", ""Vanilla"", ""Honey""]"
Mythology,multiple,easy,Which figure from Greek mythology traveled to the underworld to return his wife Eurydice to the land of the living?,Orpheus,"[""Hercules"", ""Perseus"", ""Daedalus""]"
Entertainment: Video Games,boolean,medium,"In the Disgaea series, any character can equip any weapon.",False,"[""True""]"
Politics,multiple,easy,Who was South Africa&#039;s first Black President?,Nelson Mandela,"[""Mangosuthu Buthelezi"", ""Steve Biko "", ""Bishop Tutu""]"
Entertainment: Video Games,multiple,medium,What is the name of the protagonist&#039;s first Persona in &quot;Persona 5&quot;?,Arsene,"[""Mara"", ""Izanagi"", ""Sandaphlon""]"
Science: Mathematics,multiple,medium,"To the nearest whole number, how many radians are in a whole circle?",6,"[""3"", ""4"", ""5""]"
General Knowledge,multiple,medium,Which of these American singers and songwriters won a Nobel Prize in Literature?,Bob Dylan,"[""Buddy Holly"", ""Johnny Cash"", ""Alice Cooper""]"
Entertainment: Music,multiple,medium,&quot;The Day the Music Died&quot; was a tragic plane crash that killed three musicians in which decade?,50&#039;s,"[""60&#039;s"", ""70&#039;s"", ""40&#039;s""]"
Science: Mathematics,multiple,hard,Which of these numbers is closest to the total number of possible states for an army standard Enigma Machine?,1.58 x 10^20,"[""1.58 x 10^22"", ""1.58 x  10^18"", ""1.58 x 10^24""]"
Entertainment: Books,multiple,medium,"In the year 1818, novelist Mary Shelly is credited with writing a fiction novel and creating this infamous character.",Frankenstein&#039;s monster,"[""Dracula"", ""The Thing"", ""The Invisible Man""]"
General Knowledge,boolean,easy,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,False,"[""True""]"
Entertainment: Video Games,multiple,medium,"In the game Overwatch, which hero out of the following 4 is from Brazil?",L&uacute;cio,"[""Sombra"", ""McCree"", ""Symmetra""]"
Geography,boolean,medium,Italy and Ireland are the only countries in Europe that start with the letter I.,False,"[""True""]"
Sports,multiple,medium,What is the nickname of Northampton town&#039;s rugby union club?,Saints,"[""Harlequins"", ""Saracens"", ""Wasps""]"
Entertainment: Video Games,multiple,medium,"In Minecraft, how many items can a single piece of coal smelt when used in a furnace?",8,"[""12"", ""10"", ""6""]"
General Knowledge,multiple,easy,What planet is not named after a Greek or Roman god?,Earth,"[""Jupiter"", ""Mars"", ""Mercury""]"
Animals,boolean,easy,Rabbits can see what&#039;s behind themselves without turning their heads.,True,"[""False""]"
General Knowledge,multiple,medium,What are the three starter Pokemon available in Pokemon Black and White?,"Snivy, Tepig, Oshawott","[""Snivy, Fennekin, Froakie"", ""Chespin, Tepig, Froakie"", ""Chespin, Fennekin, Oshawott""]"
Science &amp; Nature,multiple,medium,"The humerus, paired radius, and ulna come together to form what joint?",Elbow,"[""Knee"", ""Sholder"", ""Ankle""]"
Science: Computers,multiple,easy,"On a standard American QWERTY keyboard, what symbol will you enter if you hold the shift key and press 1?",Exclamation Mark,"[""Dollar Sign"", ""Percent Sign"", ""Asterisk""]"
Entertainment: Books,multiple,hard,"In the Harry Potter universe, who does Draco Malfoy end up marrying?",Astoria Greengrass,"[""Pansy Parkinson"", ""Millicent Bulstrode"", ""Hermione Granger""]"
Entertainment: Board Games,multiple,easy,Which one of these is not a real game in the Dungeons &amp; Dragons series?,Extreme Dungeons &amp; Dragons,"[""Advanced Dungeons &amp; Dragons"", ""Dungeons &amp; Dragons 3.5th edition"", ""Advanced Dungeons &amp; Dragons 2nd edition""]"
Entertainment: Video Games,multiple,medium,What CoD &quot;Deathstreak&quot; is only featured in Call of Duty : Modern Warfare 2?,Copycat,"["" Martrydom"", ""Final Stand"", ""Revenge""]"
Entertainment: Video Games,multiple,medium,When was Final Fantasy XV released?,"November 29th, 2016","[""October 25th, 2016"", ""December 31th, 2016"", ""November 30th, 2016""]"
Science: Mathematics,multiple,medium,Which greek mathematician ran through the streets of Syracuse naked while shouting &quot;Eureka&quot; after discovering the principle of displacement?,Archimedes,"[""Euclid"", ""Homer"", ""Eratosthenes""]"
Entertainment: Video Games,multiple,easy,What video game sparked controversy because of its hidden &quot;Hot Coffee&quot; minigame?,Grand Theft Auto: San Andreas,"[""Grand Theft Auto: Vice City"", ""Hitman: Blood Money"", ""Cooking Mama""]"
Entertainment: Video Games,multiple,easy,Who created the indie adventure game &quot;Night in the Woods&quot;?,Alec Holowka,"[""Ron Gilbert"", ""Tim Schafer"", "" Tommy Refenes""]"
History,multiple,easy,What year did World War I begin?,1914,"[""1905"", ""1919"", ""1925""]"
History,multiple,medium,The Herero genocide was perpetrated in Africa by which of the following colonial nations?,Germany,"[""Britain"", ""Belgium"", ""France""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In JoJo&#039;s Bizarre Adventure, which character is able to accelerate time?",Enrico Pucci,"[""Jotaro Kujo"", ""Jolyne Cujoh"", ""Kujo Jotaro""]"
Entertainment: Video Games,multiple,medium,"During the game&#039;s development, what was the first ever created Pok&eacute;mon?",Rhyhorn,"[""Bulbasaur"", ""Mew"", ""Arceus""]"
Entertainment: Television,multiple,hard,What&#039;s Dr. Doofenshmirtz first name?,Heinz,"[""Hans"", ""Hank"", ""Heidi""]"
Science &amp; Nature,multiple,medium,The Sun consists of mostly which two elements?,Hydrogen &amp; Helium,"[""Hydrogen &amp; Nitrogen"", ""Carbon &amp; Nitrogen"", ""Carbon &amp; Helium""]"
Geography,multiple,medium,Lake Titicaca is located between which two nations?,Peru and Bolivia,"[""Kenya and Uganda"", ""Mexico and the United States"", ""India and Bangladesh""]"
Entertainment: Video Games,multiple,medium,What is the name of the only female &quot;Original Four&quot; Kerbal in Kerbal Space Program?,Valentina Kerman,"[""Emiko Kerman"", ""Samantha Kerman"", ""Catmund Kerman""]"
Science &amp; Nature,multiple,medium,Which desert is the only desert in the world where the &quot;Saguaro&quot; cactus grows indigenously?,The Sonoran Desert,"[""The Gobi Desert"", ""The Yuma Desert"", ""The Arabian Desert""]"
Entertainment: Japanese Anime &amp; Manga,boolean,medium,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",True,"[""False""]"
Entertainment: Music,multiple,medium,Pink Floyd made this song for their previous lead singer Syd Barrett.,Shine On You Crazy Diamond,"[""Wish You Were Here"", ""Have A Cigar"", ""Welcome to the Machine""]"
Entertainment: Video Games,multiple,easy,"Which popular First Person Shooter (FPS) franchise, got a Real Time Strategy (RTS) game developed based on its universe?",Halo,"[""Battlefield"", ""Call of Duty"", ""Borderlands""]"
Entertainment: Video Games,multiple,medium,What is the name of the currency in the &quot;Animal Crossing&quot; series?,Bells,"[""Sea Shells"", ""Leaves"", ""Bugs""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,"The two main characters of &quot;No Game No Life&quot;, Sora and Shiro, together go by what name?",Blank,"[""Immanity"", ""Disboard"", ""Warbeasts""]"
Entertainment: Music,multiple,hard,"In Kendrick Lamar&#039;s 2012 album, &quot;Good Kid, M.A.A.D City&quot;, the album&#039;s story takes place in which city?",Compton,"[""Detroit"", ""New York"", ""Baltimore""]"
General Knowledge,multiple,medium,Coleslaw originated from which European country?,The Netherlands,"[""United Kingdom"", ""Denmark"", ""Germany""]"
Entertainment: Video Games,multiple,easy,Which of the following is NOT a summon in the game &quot;South Park: The Stick of Truth&quot;?,Towelie,"[""Jesus"", ""Mr. Hankey"", ""Mr. Slave""]"
Entertainment: Music,boolean,medium,&quot;The Division Bell&quot; is the final album of the progressive rock band Pink Floyd.,False,"[""True""]"
Entertainment: Television,boolean,medium,Bob Ross was a US Air Force pilot.,False,"[""True""]"
Geography,multiple,easy,What is the largest country in the world ?,Russian Federation,"[""China"", ""Canada"", ""Brazil""]"
Entertainment: Film,multiple,medium,Which of the following is NOT a quote from the 1942 film Casablanca? ,"&quot;Frankly, my dear, I don&#039;t give a damn.&quot;","[""&quot;Here&#039;s lookin&#039; at you, kid.&quot;"", ""&ldquo;Of all the gin joints, in all the towns, in all the world, she walks into mine&hellip;&rdquo;"", ""&quot;Round up the usual suspects.&quot;""]"
Entertainment: Video Games,boolean,hard,The names of Roxas&#039;s Keyblades in Kingdom Hearts are &quot;Oathkeeper&quot; and &quot;Oblivion&quot;.,True,"[""False""]"
Entertainment: Comics,multiple,easy,This Marvel superhero is often called &quot;The man without fear&quot;.,Daredevil,"[""Thor"", ""Wolverine"", ""Hulk""]"
Entertainment: Television,boolean,medium,"In &quot;Star Trek&quot;, Klingons respect William Shakespeare, they even suspect him having a Klingon lineage.",True,"[""False""]"
Geography,multiple,medium,What is the capital of Greenland?,Nuuk,"[""Sisimiut"", ""Narsaq"", ""Maniitsoq""]"
Entertainment: Video Games,multiple,hard,"In the game &quot;VA-11 Hall-A&quot; during Virgilio&#039;s ending, Virgilio opens his own:",Curry Stand,"[""Bar"", ""Museum"", ""Law Firm""]"
Science &amp; Nature,multiple,medium,What part of the brain takes its name from the Greek for seahorse?,Hippocampus,"[""Cerebellum"", ""Thalamus"", ""Amygdala""]"
Entertainment: Music,multiple,medium,In what film was the Michael Jackson song &quot;Will You Be There&quot; featured?,Free Willy,"[""Sleepless in Seattle"", ""Men in Black"", ""Bad Boys""]"
Entertainment: Cartoon &amp; Animations,multiple,hard,What is Scooby Doo&#039;s full name?,Scoobert Doo,"[""Scooter Doo"", ""Scooby Dooby Doo"", ""Scoobity Doo""]"
Science &amp; Nature,multiple,hard,A comet&#039;s gaseous envelope (which creates the tail) is called what?,The coma,"[""The wake"", ""The backwash"", ""The ablative""]"
Science &amp; Nature,multiple,medium,What is the lowest layer of the Earth&#039;s atmosphere named?,Troposphere,"[""Stratosphere"", ""Mesosphere"", ""Thermosphere""]"
Entertainment: Music,multiple,medium,What was the birthplace of musical artist &#039;Sir Robert Bryson Hall II&#039; (aka. Logic)?,"Maryland, United States","[""Atlanta, United States"", ""London, United Kingdom"", "" Botswana, Africa""]"
Science &amp; Nature,boolean,medium,&quot;Tachycardia&quot; or &quot;Tachyarrhythmia&quot; refers to a resting heart-rate near or over 100 BPM.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,Which Mario spin-off game did Waluigi make his debut?,Mario Tennis,"[""Mario Party 3"", ""Mario Kart: Double Dash!!"", ""Mario Golf: Toadstool Tour""]"
Entertainment: Video Games,multiple,easy,"What Ultimate does Makoto Naegi, protagonist of Danganronpa: Trigger Happy Havoc, have? ",Ultimate Lucky Student,"[""Ultimate Unlucky Student"", ""Ultimate Detective"", ""Ultimate Runner""]"
Entertainment: Music,multiple,easy,The &quot;K&quot; in &quot;K-Pop&quot; stands for which word?,Korean,"[""Kenyan"", ""Kazakhstan"", ""Kuwaiti""]"
Science &amp; Nature,multiple,hard,Muscle fiber is constructed of bundles small long organelles called what?,Myofibrils,"[""Epimysium"", ""Myofiaments"", ""Myocardium""]"
Entertainment: Film,multiple,hard,"Which of the following films was directed by Ivan Reitman, written by Gary Ross, featured Kevin Kline, and was released in 1993?",Dave,"[""John"", ""Will"", ""Carl""]"
Entertainment: Japanese Anime &amp; Manga,boolean,hard,Druid is a mage class in &quot;Log Horizon&quot;.,False,"[""True""]"
Entertainment: Film,multiple,medium,"In the &quot;Jurassic Park&quot; universe, what is the name of the island that contains InGen&#039;s Site B?",Isla Sorna,"[""Isla Nublar"", ""Isla Pena"", ""Isla Muerta""]"
Sports,multiple,medium,What is the oldest team in Major League Baseball?,Atlanta Braves,"[""Chicago Cubs"", ""Cincinnati Reds"", ""St. Louis Cardinals""]"
Science: Mathematics,multiple,hard,The French mathematician &Eacute;variste Galois is primarily known for his work in which?,Galois Theory,"[""Galois&#039; Continued Fractions"", ""Galois&#039; Method for PDE&#039;s "", ""Abelian Integration""]"
Entertainment: Video Games,multiple,medium,Who is credited with having created the world&#039;s first video game Easter Egg?,Warren Robinett,"[""Julius Smith"", ""Will Crowther"", ""Don Woods""]"
Science &amp; Nature,multiple,medium,"Along with Oxygen, which element is primarily responsible for the sky appearing blue?",Nitrogen,"[""Helium"", ""Carbon"", ""Hydrogen""]"
Entertainment: Television,multiple,medium,This composer worked on the 2003 TV series Battlestar Galatica.,Bear McCreary,"[""Ramin Djawadi"", ""Jeremy Soule"", ""Harry Gregson-Williams""]"
Entertainment: Music,multiple,hard,What song includes the words &quot;Numa Numa&quot; which was subject to a Viral Video in 2004?,Dragostea Din Tei,"[""Despacito"", ""Gangnam Style"", ""Asereje""]"
Science &amp; Nature,multiple,hard,If you planted the seeds of Quercus robur what would grow?,Trees,"[""Flowers"", ""Vegtables"", ""Grains""]"
Science: Computers,multiple,medium,The teapot often seen in many 3D modeling applications is called what?,Utah Teapot,"[""Pixar Teapot"", ""3D Teapot"", ""Tennessee Teapot""]"
Entertainment: Video Games,multiple,medium,Which episode of the Phantasy Star Online series is exclusive to the Nintendo Gamecube?,Episode III,"[""Episode I"", ""Episode II"", ""Episode IV""]"
Entertainment: Japanese Anime &amp; Manga,boolean,hard,"In the &quot;To Love-Ru&quot; series, Peke is considered a female robot.",True,"[""False""]"
Entertainment: Comics,multiple,easy,Which universe crossover was introduced in the &quot;Sonic the Hedgehog&quot; comic issue #247?,Mega Man,"[""Super Mario Brothers"", ""Alex Kidd"", ""Super Monkey Ball""]"
Science &amp; Nature,multiple,medium,What is the molecular formula of the active component of chili peppers(Capsaicin)?,C18H27NO3,"[""C21H23NO3"", ""C6H4Cl2"", ""C13H25NO4""]"
General Knowledge,multiple,easy,What alcoholic drink is made from molasses?,Rum,"[""Gin"", ""Vodka"", ""Whisky""]"
Entertainment: Video Games,boolean,easy,"In Dead Space 2, the &#039;Hand Cannon&#039; is a large foam finger.",True,"[""False""]"
Science &amp; Nature,multiple,easy,What is the largest planet in the Solar System?,Jupiter,"[""Saturn"", ""Earth"", ""Mars""]"
Geography,boolean,medium,The capital of Brazil is Rio de Janeiro.,False,"[""True""]"
Entertainment: Television,multiple,medium,Which of the following was not an actor/actress on the American television show &quot;Saturday Night Live&quot; in Season 42?,Tina Fey,"[""Mikey Day"", ""Kate McKinnon"", ""Sasheer Zamata""]"
General Knowledge,multiple,medium,A doctor with a PhD is a doctor of what?,Philosophy,"[""Psychology"", ""Phrenology"", ""Physical Therapy""]"
Science &amp; Nature,boolean,easy,Upwelling in the ocean provides colder nutrient rich water for plants and decomposers.,True,"[""False""]"
Entertainment: Musicals &amp; Theatres,multiple,easy,Who wrote the musical &quot;Hamilton&quot;?,Lin-Manuel Miranda,"[""Andrew Lloyd Webber"", ""Nell Benjamin"", ""Tom Kitt""]"
General Knowledge,boolean,easy,Scotland voted to become an independent country during the referendum from September 2014.,False,"[""True""]"
History,boolean,easy,The Tiananmen Square protests of 1989 were held in Hong Kong.,False,"[""True""]"
Entertainment: Music,multiple,medium,Which of these is not a member of the virtual band Gorillaz?,Phi Cypher,"[""Murdoc Niccals"", ""Noodle"", ""Russel Hobbs""]"
Entertainment: Video Games,multiple,hard,What is the name of the main character in the video game VA-11 HALL-A: Cyberpunk Bartender Action?,Jill,"[""Dana"", ""Alma"", ""Anna""]"
Geography,multiple,easy,What is the capital of Indonesia?,Jakarta,"[""Bandung"", ""Medan"", ""Palembang""]"
General Knowledge,multiple,easy,"Which country, not including Japan, has the most people of Japanese descent?",Brazil,"[""China"", ""South Korea"", ""United States of America""]"
Entertainment: Video Games,boolean,easy,Doki Doki Literature Club was developed in Japan.,False,"[""True""]"
Entertainment: Film,multiple,medium,"In the 2002 film &quot;Kung Pow! Enter the Fist&quot;, why was Wimp Lo purposely trained wrong?",As a joke,"[""For cheating"", ""Revenge"", ""To test him""]"
General Knowledge,multiple,hard,"Which product did Nokia, the telecommunications company, originally sell?",Paper,"[""Phones"", ""Computers"", ""Processors""]"
Entertainment: Japanese Anime &amp; Manga,boolean,hard,The protagonist in &quot;Humanity Has Declined&quot; has no discernable name and is simply referred to as &#039;I&#039; for most of the series.,True,"[""False""]"
Entertainment: Film,boolean,easy,"In the movie The Revenant, DiCaprio&#039;s character hunts down the killer of his son.",True,"[""False""]"
General Knowledge,multiple,easy,"&quot;A3&quot;, &quot;B1&quot;, and &quot;Legal&quot; are typical names of sizes for what object?",Paper,"[""Airplanes"", ""Law books"", ""Phone screens""]"
General Knowledge,multiple,medium,Which mountain has the highest peak in Australia?,"Mount Kosciuszko, New South Wales","[""Mount Ossa, Tasmania"", ""Mount Bartle Frere, Queensland"", ""Mount Zeil, Northern Territory""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In &quot;To Love-Ru&quot;, who is the first to hear of Yami&#039;s past from her?",Rito,"[""Mikan"", ""Lala"", ""Haruna""]"
Geography,multiple,easy,Which European city is known as the &quot;City of Light&quot;?,Paris,"[""Rome"", ""London"", ""Madrid""]"
Entertainment: Film,multiple,medium,In the 1979 British film &quot;Quadrophenia&quot; what is the name of the seaside city the mods are visiting?,Brighton,"[""Eastbourne"", ""Mousehole"", ""Bridlington""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,Which JoJo&#039;s Bizarre Adventure character possesses the Stand named Silver Chariot?,Jean Pierre Polnareff,"[""Noriaki Kakyoin"", ""Hol Horse"", ""Hermes Costello""]"
Animals,boolean,medium,Otters have pockets under their arms for carrying their favourite snacks and rocks.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,"In vanilla Minecraft, which of the following cannot be made into a block?",Charcoal,"[""Coal"", ""Wheat"", ""String""]"
General Knowledge,multiple,easy,Which of the following presidents is not on Mount Rushmore?,John F. Kennedy,"[""Theodore Roosevelt"", ""Abraham Lincoln"", ""Thomas Jefferson""]"
Science: Gadgets,boolean,easy,"Microphones can be used not only to pick up sound, but also to project sound similar to a speaker.",True,"[""False""]"
Entertainment: Comics,multiple,easy,Who is the creator of the comic series &quot;The Walking Dead&quot;?,Robert Kirkman,"[""Stan Lee"", ""Malcolm Wheeler-Nicholson"", ""Robert Crumb""]"
Science &amp; Nature,multiple,easy,Alzheimer&#039;s disease primarily affects which part of the human body?,Brain,"[""Lungs"", ""Skin"", ""Heart""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In the ADV (English) Dub of the anime &quot;Ghost Stories&quot;, which character is portrayed as a Pentacostal Christian?",Momoko Koigakubo,"[""Hajime Aoyama"", ""Satsuki Miyanoshita"", ""Mio Itai""]"
General Knowledge,multiple,easy,"In blood typing, the (+) and (-) marker after an A, B, AB, or O is called Rh factor. Which of the following is the source of its discovery?",Rhesus Monkeys,"[""Rheumatism Patients"", ""Red-Haired People"", ""Rhizomes""]"
Entertainment: Music,multiple,medium,"From which album is the Gorillaz song, &quot;On Melancholy Hill&quot; featured in?",Plastic Beach,"[""Demon Days"", ""Humanz"", ""The Fall""]"
General Knowledge,multiple,easy,Which of the three astronauts of the Apollo 11 spaceflight did NOT walk on the moon?,Michael Collins,"[""Buzz Aldrin"", ""Neil Armstrong"", ""None of them""]"
Science: Computers,multiple,easy,"In computing, how many bits are in a nibble?",4,"[""16"", ""32"", ""2""]"
Entertainment: Video Games,multiple,medium,Who is the main character in the video game &quot;Just Cause 3&quot;?,Rico Rodriguez,"[""Tom Sheldon"", ""Marcus Holloway"", ""Mario Frigo""]"
Entertainment: Video Games,boolean,easy,There are 2 player roles in Trouble in Terrorist Town.,False,"[""True""]"
Mythology,boolean,hard,Janus was the Roman god of doorways and passageways.,True,"[""False""]"
Entertainment: Music,multiple,easy,"In an orchestra, what is the lowest member of the brass family?",Tuba,"[""Trombone"", ""Contrabass"", ""Bassoon""]"
Science: Computers,multiple,hard,"Australia, Japan, and Southeast Asia are in which ITU Region?",Region 3,"[""Region 1"", ""Region 2"", ""Region 4""]"
History,multiple,hard,List the following Iranic empires in chronological order:,"Median, Achaemenid, Parthian, Sassanid","[""Median, Achaemenid, Sassanid, Parthian"", ""Achaemenid, Median, Parthian, Sassanid"", ""Achaemenid, Median, Sassanid, Parthian""]"
Science: Gadgets,multiple,medium,"What is the most significant side venture the popular firearms company, Remington, has pursued?",Typewriters,"[""Blenders"", ""Ceiling Fans"", ""Door Knobs""]"
General Knowledge,multiple,easy,Which American president appears on a one dollar bill?,George Washington,"[""Thomas Jefferson"", ""Abraham Lincoln"", ""Benjamin Franklin""]"
General Knowledge,multiple,medium,Which essential condiment is also known as Japanese horseradish?,Wasabi ,"[""Mentsuyu"", ""Karashi"", ""Ponzu""]"
History,multiple,easy,Which of the following was Brazil was a former colony under?,Portugal,"[""Spain"", ""The Netherlands"", ""France""]"
Entertainment: Video Games,multiple,medium,What year was the video game streaming platform TwitchTV founded?,2011,"[""2012"", ""2010"", ""2014""]"
Entertainment: Video Games,multiple,hard,&quot;Strangereal&quot; is a fictitious Earth-like world for which game series?,Ace Combat,"[""Jet Set Radio"", ""Deus Ex"", ""Crimson Skies""]"
Entertainment: Television,multiple,easy,What is the name of Chris&#039;s brother in &quot;Everybody Hates Chris&quot;?,Drew,"[""Jerome"", ""Greg"", ""Joe""]"
Geography,multiple,medium,Which of these countries is &quot;doubly landlocked&quot; (surrounded entirely by one or more landlocked countries)?,Uzbekistan,"[""Switzerland"", ""Bolivia"", ""Ethiopia""]"
Entertainment: Video Games,multiple,medium,Which of these songs does NOT play during the Ruins segments of the 2015 game &quot;Undertale&quot;?,Another Medium,"[""Anticipation"", ""Unnecessary Tension"", ""Ruins""]"
Entertainment: Video Games,multiple,easy,The name of the Metroid series comes from what?,An enemy in the game,"[""The final boss&#039;s name"", ""The main character&#039;s name"", ""A spaceship&#039;s name""]"
Entertainment: Video Games,boolean,hard,Danganronpa 2: Goodbye Despair featured all of the surviving students from the first game.,False,"[""True""]"
Science: Computers,multiple,medium,What was the name of the image that features as the default background wallpaper for Windows XP?,Bliss,"[""Azul"", ""Red moon desert"", ""Tulips""]"
Geography,multiple,medium,Which of the following countries is within the Eurozone but outside of the Schengen Area?,Cyprus,"[""Malta"", ""Greece"", ""Portugal""]"
Entertainment: Video Games,multiple,medium,Final Fantasy VI was originally released outside Japan under what name?,Final Fantasy III,"[""Final Fantasy VI"", ""Final Fantasy V"", ""Final Fantasy II""]"
Science: Mathematics,boolean,hard,The binary number &quot;101001101&quot; is equivalent to the Decimal number &quot;334&quot;,False,"[""True""]"
Animals,multiple,easy,What do you call a baby bat?,Pup,"[""Cub"", ""Chick"", ""Kid""]"
History,multiple,hard,When was the Gregorian Calendar first adopted?,1582,"[""1623"", ""1501"", ""1555""]"
Entertainment: Music,multiple,medium,"Which French duo had UK hits in 1998 with the songs &#039;Sexy Boy&#039;, &#039;Kelly Watch The Stars&#039; &amp; &#039;All I Need&#039;?",Air,"[""Fire"", ""Earth"", ""Water""]"
Geography,boolean,medium,Liechtenstein does not have an airport.,True,"[""False""]"
General Knowledge,multiple,easy,"Of the following months, which has the most amount of days?",December,"[""April"", ""September"", ""November ""]"
